key=11011000111000      count=163
key=11000000000101      count=163
key=11001011100011      count=163
key=01000011110001      count=163
key=10111101000001      count=163
key=11011000011011      count=163
key=01110011011011      count=163
key=11000001111101      count=162
key=01101111010110      count=162
key=00111111100010      count=162
key=00001110110010      count=162
key=01001101010011      count=162
key=01111011111111      count=162
key=00101001001110      count=162
key=11001101100011      count=162
key=11000111110100      count=161
key=01000010101100      count=161
key=10101110001011      count=161
key=01010001000111      count=161
key=00100110011000      count=161
key=11001111111001      count=161
key=00101001100011      count=161
key=00001110001000      count=161
key=11000010011010      count=161
key=11001111010000      count=161
key=01000001001001      count=161
key=11010001001000      count=161
key=01000101101000      count=160
key=11011000110010      count=160
key=11011001100100      count=160
key=01101101000001      count=160
key=10101101010101      count=160
key=11001001101000      count=160
key=01000000010011      count=160
key=10110000001101      count=160
key=11001100100010      count=160
key=01110011010001      count=160
key=01000000100000      count=160
key=10110001001000      count=160
key=01000000101111      count=159
key=10111100111010      count=159
key=10111101011111      count=159
key=11001110110100      count=159
key=01011101010110      count=159
key=01000011100101      count=159
key=01111101000101      count=159
key=11000000011110      count=159
key=11010100000011      count=159
key=01001010110011      count=159
key=01111010001100      count=159
key=00100110011010      count=159
key=01011001111111      count=158
key=11001111100001      count=158
key=01010111111101      count=158
key=11010001101010      count=158
key=01010101011100      count=158
key=01101110110100      count=158
key=01100000001011      count=158
key=11011000100010      count=158
key=11001111100100      count=158
key=01000100100011      count=158
key=10111100111000      count=158
key=11010010000001      count=157
key=01101111010000      count=157
key=11001011111100      count=157
key=00010111000000      count=157
key=01001000000010      count=157
key=01011100001111      count=157
key=01000110100111      count=156
key=01110011011111      count=156
key=01011110101100      count=156
key=01111010100000      count=156
key=11000001001011      count=156
key=10110010110101      count=156
key=00011111000011      count=156
key=01111011110000      count=156
key=01111010111111      count=156
key=11000111111001      count=156
key=11001110001101      count=155
key=11011000111100      count=155
key=01000110001001      count=155
key=11000000110011      count=155
key=01000001101011      count=155
key=01010000010101      count=155
key=11011000111011      count=154
key=00001110011001      count=154
key=01001000000100      count=154
key=10100001110110      count=154
key=11000110001111      count=154
key=11000100000111      count=154
key=01110111001010      count=154
key=10111110010101      count=154
key=01100001010010      count=154
key=00000010000100      count=153
key=10100100011010      count=153
key=01101101110001      count=153
key=11010100111010      count=153
key=11000000110000      count=153
key=11000111011110      count=153
key=00100101011100      count=153
key=01100000000100      count=153
key=10111101010110      count=152
key=11001000011110      count=152
key=11010001110010      count=152
key=00111101111010      count=152
key=01000010001011      count=152
key=11000001001001      count=152
key=11001101100111      count=152
key=01010001000110      count=152
key=10111011010000      count=152
key=01001010110100      count=152
key=01110010100011      count=152
key=10101010110101      count=152
key=01110010000111      count=151
key=11001011111110      count=151
key=11001110110111      count=151
key=01011110100011      count=151
key=10111000000101      count=151
key=01001000000000      count=151
key=11000001101010      count=151
key=11011000101100      count=151
key=11010000011001      count=150
key=11011000000110      count=150
key=11001101100110      count=150
key=11000000011100      count=150
key=01001101111010      count=150
key=11011000011100      count=150
key=10110010000100      count=150
key=01001101111011      count=150
key=01100010101111      count=150
key=01010000111100      count=150
key=11010010111101      count=149
key=01000100110100      count=149
key=10111000010101      count=149
key=10111110010001      count=149
key=01000010110011      count=148
key=01000101110000      count=148
key=10011000011011      count=148
key=01000011110011      count=148
key=01000010001100      count=148
key=11000111011010      count=148
key=01001010110110      count=148
key=11011000000100      count=148
key=11000100110110      count=148
key=01000110100101      count=148
key=00010111001111      count=148
key=01000101001111      count=148
key=11010010010010      count=148
key=11000110110011      count=147
key=01000010101010      count=147
key=10011001011000      count=147
key=10111011010111      count=147
key=11010101100110      count=147
key=11011001011101      count=147
key=00101001001010      count=147
key=00010111010000      count=146
key=11010010101100      count=146
key=00111010010001      count=146
key=11000011010000      count=146
key=11001110000011      count=146
key=01110110011001      count=146
key=11000000000001      count=146
key=01010101011101      count=146
key=11011010110101      count=146
key=10101110010011      count=146
key=11001101110010      count=146
key=10111010110100      count=146
key=00101110001000      count=145
key=01100010000101      count=145
key=11011000010001      count=145
key=11001010000101      count=145
key=11001100110000      count=145
key=11001001100101      count=145
key=10010010010100      count=145
key=11000010010101      count=145
key=01010110001101      count=145
key=01001110100011      count=145
key=01001110100111      count=145
key=11001000110000      count=145
key=01010011110111      count=145
key=11001100111011      count=145
key=11001110110011      count=145
key=01010101000111      count=144
key=11011001010010      count=144
key=01101101111001      count=144
key=01000010000100      count=144
key=01011111101011      count=144
key=11010001110011      count=144
key=11011100010001      count=144
key=01111101111110      count=143
key=10110010001111      count=143
key=01011110001100      count=143
key=00011011011111      count=143
key=00011011100000      count=143
key=01011100001010      count=143
key=01000000110001      count=143
key=11000010001111      count=143
key=11000101111111      count=143
key=01000000101100      count=143
key=10110001010010      count=143
key=01011111010101      count=143
key=11001000101000      count=143
key=10110010010010      count=142
key=01011001000100      count=142
key=10010100111100      count=142
key=11000010100101      count=142
key=11000011010001      count=142
key=01000010010011      count=142
key=01010000111101      count=142
key=01011001111110      count=142
key=10111101110010      count=142
key=01010101100111      count=141
key=01000010100000      count=141
key=01000001010110      count=141
key=00101110001011      count=141
key=01110010110001      count=141
key=11000111010000      count=141
key=10111100011111      count=141
key=11000011111000      count=141
key=11001111111111      count=141
key=10110110001100      count=141
key=00110010000111      count=141
key=01101101110011      count=141
key=01010111111110      count=140
key=11000000010010      count=140
key=01000000010001      count=140
key=10100010001001      count=140
key=01000101101100      count=140
key=00100101111011      count=140
key=01010101110001      count=140
key=01110111101000      count=140
key=00011011011110      count=140
key=10110100110100      count=140
key=01000101010110      count=140
key=01000101101011      count=140
key=11010101100010      count=140
key=11001100010111      count=140
key=01000000000110      count=140
key=11000110001100      count=140
key=01101110010011      count=139
key=00011000111101      count=139
key=11000001000101      count=139
key=01011110110001      count=139
key=11000001101000      count=139
key=11000110110010      count=139
key=11011001100101      count=139
key=00000010000101      count=139
key=10111100010000      count=139
key=01101101010101      count=138
key=01110011001010      count=138
key=00101001001000      count=138
key=11011000010010      count=138
key=01011001000111      count=138
key=10111110100010      count=138
key=11011000011111      count=138
key=11010001011010      count=138
key=11010011011100      count=137
key=01001011010110      count=137
key=01010101111011      count=137
key=00011111001010      count=137
key=01111010101001      count=137
key=00101010110010      count=137
key=01011011100011      count=137
key=00101110111010      count=136
key=10110001001011      count=136
key=01000000110100      count=136
key=10111110011111      count=136
key=01110100010001      count=136
key=00011011011011      count=136
key=01001010110001      count=136
key=01011001101110      count=136
key=01010000011000      count=136
key=11010001100010      count=135
key=01110100010110      count=135
key=01001010001001      count=135
key=01100000000010      count=135
key=01001110100000      count=135
key=11001001010011      count=135
key=10111110010000      count=135
key=00100110011011      count=135
key=01000010110001      count=135
key=10100110011001      count=135
key=11001001110101      count=135
key=00101110111001      count=135
key=01101101011011      count=135
key=11010100010101      count=135
key=10111100000100      count=135
key=10111010110111      count=135
key=01010101100001      count=134
key=11000011001010      count=134
key=01110111000111      count=134
key=00101001101100      count=134
key=01010010011100      count=134
key=11011101100000      count=134
key=01110100001110      count=134
key=01111100000001      count=134
key=11000011001111      count=134
key=00101110100101      count=134
key=11001001110010      count=134
key=11000000100000      count=134
key=11001011111101      count=134
key=01001000001101      count=134
key=10111010000110      count=134
key=11000000000010      count=133
key=11000001101100      count=133
key=11001010000110      count=133
key=10110001011010      count=133
key=01010101010111      count=133
key=01000110101001      count=133
key=01110000110001      count=133
key=11000000001001      count=133
key=01011110100000      count=133
key=11011000111110      count=133
key=01001000001011      count=133
key=11011000011000      count=132
key=11001100001110      count=132
key=10111101000111      count=132
key=11001101100101      count=132
key=11000001101111      count=132
key=01000000010000      count=132
key=01001000100111      count=132
key=10111010110110      count=132
key=01011001101001      count=132
key=01010001000100      count=132
key=11000011000101      count=132
key=10101000100111      count=132
key=11001110101001      count=132
key=01010000010000      count=132
key=01001000111011      count=131
key=11001100001100      count=131
key=00111101001110      count=131
key=00000001101100      count=131
key=11000000001000      count=131
key=01010101110011      count=131
key=01000000111011      count=131
key=11010101100111      count=131
key=10111110110100      count=131
key=01000000011101      count=131
key=00101110011001      count=131
key=11000000100110      count=131
key=01100000000110      count=131
key=11010001001111      count=131
key=10111110100011      count=131
key=01110001110001      count=130
key=01000010101110      count=130
key=01111100110000      count=130
key=01110111111111      count=130
key=11001100010011      count=130
key=01110011111111      count=130
key=01110011011101      count=130
key=01111101110111      count=130
key=01000101010001      count=130
key=01110011010101      count=130
key=01001000101000      count=129
key=10110110010010      count=129
key=01000000110101      count=129
key=11001100011010      count=129
key=10111010001010      count=129
key=00111101111101      count=129
key=00000001101110      count=129
key=11010001001101      count=129
key=01010100000101      count=128
key=11010100111111      count=128
key=00101010001111      count=128
key=01111011000000      count=128
key=01011000110011      count=128
key=11001100011011      count=128
key=11000010101110      count=128
key=11010100011110      count=128
key=01110100010111      count=128
key=01000000011111      count=128
key=01010000010110      count=128
key=11000000001011      count=128
key=11011001110001      count=128
key=01010010110010      count=128
key=11001000100110      count=128
key=00111101000111      count=128
key=01011111101010      count=127
key=11010010011011      count=127
key=01000000110000      count=127
key=00111011100100      count=127
key=01000100101100      count=127
key=01010001010111      count=127
key=01001010001100      count=127
key=11001100010010      count=127
key=11011000001110      count=127
key=00100101001000      count=127
key=00111101000100      count=127
key=01000011001101      count=127
key=11001001110011      count=127
key=01101101110000      count=127
key=10110110010001      count=127
key=11000011100000      count=126
key=11000111000110      count=126
key=11010101111010      count=126
key=01010100111010      count=126
key=10111110111000      count=126
key=10111101000000      count=126
key=01011001011011      count=126
key=01000101010010      count=126
key=01100010101011      count=126
key=01000101000011      count=126
key=01001111011000      count=126
key=11010100010010      count=126
key=11000001110110      count=126
key=01010110011011      count=126
key=11000001111100      count=126
key=10110001011001      count=126
key=01000010001001      count=125
key=01000011011000      count=125
key=01100010100011      count=125
key=11010001100011      count=125
key=11001110001001      count=125
key=00011111000110      count=125
key=11000111010100      count=125
key=00111111110110      count=125
key=01100101000000      count=125
key=00011000011100      count=125
key=11000010011101      count=125
key=11000000111110      count=125
key=00111101011011      count=125
key=00011000111110      count=124
key=11010001101100      count=124
key=10111101001000      count=124
key=01000101000010      count=124
key=01010011111001      count=124
key=11011001010001      count=124
key=01000010100100      count=124
key=01011111010100      count=124
key=01001011011101      count=124
key=11001011101100      count=124
key=11011100100101      count=124
key=10010010110111      count=124
key=11000111010001      count=124
key=01001110000110      count=124
key=11000110011001      count=124
key=11000000100111      count=124
key=11000110100110      count=124
key=01000010100111      count=124
key=10101110100000      count=124
key=10111011001011      count=124
key=11001000001001      count=123
key=10100000100000      count=123
key=11010001101001      count=123
key=11000111110010      count=123
key=11000110111010      count=122
key=11010100001110      count=122
key=11010011100111      count=122
key=01101100101100      count=122
key=01010111011101      count=122
key=10111100010010      count=122
key=00111010100010      count=122
key=11010001001010      count=122
key=11010101100100      count=122
key=11001100100100      count=122
key=00011111110111      count=122
key=01000000011010      count=122
key=11000010000001      count=122
key=10111101001100      count=122
key=01001110100110      count=122
key=01010100011011      count=122
key=11001100001111      count=121
key=01000000100001      count=121
key=10001110101001      count=121
key=10110010101010      count=121
key=01010000010001      count=121
key=11010001111111      count=121
key=01111000100010      count=121
